enrolment_id,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
28806,Male,Has relevent experience,no_enrollment,High School,,5,1,24,0
25619,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,3,23,0
11399,Female,Has relevent experience,no_enrollment,Degree,Arts,4,1,132,1
13643,,No relevent experience,no_enrollment,Degree,No Major,9,0,108,0
4476,Male,Has relevent experience,no_enrollment,Degree,No Major,15,>4,20,1
31449,Female,Has relevent experience,no_enrollment,Masters,STEM,2,1,4,0
22070,Male,No relevent experience,no_enrollment,Degree,STEM,>20,1,136,0
28751,,No relevent experience,Full time course,High School,,4,3,75,0
25349,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,28,0
10555,Male,Has relevent experience,no_enrollment,Degree,STEM,12,2,8,0
24608,Male,No relevent experience,no_enrollment,Degree,STEM,9,2,15,0
30098,Male,Has relevent experience,no_enrollment,Masters,Other,>20,>4,8,0
9475,Male,Has relevent experience,no_enrollment,Degree,STEM,9,>4,11,0
13083,Male,Has relevent experience,no_enrollment,Masters,STEM,10,>4,29,0
7342,Male,Has relevent experience,no_enrollment,Degree,STEM,11,3,102,0
13152,Male,Has relevent experience,no_enrollment,Degree,STEM,13,1,96,0
25290,,Has relevent experience,no_enrollment,High School,,<1,1,29,0
27277,,No relevent experience,no_enrollment,Degree,STEM,2,1,20,0
25182,,No relevent experience,no_enrollment,High School,,2,0,58,0
9384,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,143,0
1568,Male,Has relevent experience,no_enrollment,Degree,STEM,15,4,50,0
29440,Male,Has relevent experience,no_enrollment,Degree,STEM,4,2,60,1
21078,Female,Has relevent experience,no_enrollment,Degree,STEM,9,1,17,0
6008,Male,Has relevent experience,no_enrollment,High School,,>20,>4,38,0
28229,Male,Has relevent experience,Part time course,Degree,STEM,18,>4,51,0
8540,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,52,0
5340,Male,Has relevent experience,no_enrollment,Degree,Business Degree,>20,0,109,0
9387,Male,Has relevent experience,,High School,,6,2,20,0
30636,Male,No relevent experience,Full time course,Degree,STEM,1,1,72,1
22508,Female,No relevent experience,Part time course,Degree,STEM,5,1,16,0
1563,Male,Has relevent experience,no_enrollment,Degree,STEM,12,3,25,0
22742,,Has relevent experience,no_enrollment,Degree,STEM,9,1,56,0
24981,,Has relevent experience,no_enrollment,Degree,STEM,9,,62,0
6909,Female,No relevent experience,no_enrollment,Masters,STEM,7,1,98,1
29508,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1,24,0
6379,,Has relevent experience,no_enrollment,Masters,STEM,>20,2,18,0
3248,Male,No relevent experience,no_enrollment,High School,,4,0,94,0
26025,Male,No relevent experience,Full time course,Degree,STEM,3,0,73,1
7193,Male,No relevent experience,Full time course,High School,,5,1,55,0
29737,Male,Has relevent experience,no_enrollment,Degree,STEM,7,>4,15,0
21442,Male,Has relevent experience,no_enrollment,Degree,STEM,11,1,206,1
18,Male,No relevent experience,no_enrollment,Degree,STEM,>20,>4,24,0
