emp_length_num,home_ownership,dti,purpose,term (in months),bad_loans
6,MORTGAGE,24,debt_consolidation,36,0
8,OWN,23.92,debt_consolidation,60,0
11,RENT,16.69,credit_card,36,0
11,RENT,14.86,debt_consolidation,36,0
4,RENT,1.06,medical,36,0
4,MORTGAGE,8.86,credit_card,60,1
11,MORTGAGE,12.49,home_improvement,36,0
5,RENT,1.22,small_business,36,1
7,MORTGAGE,5.37,credit_card,36,0
7,RENT,8.27,debt_consolidation,36,0
8,MORTGAGE,24.62,debt_consolidation,36,0
4,MORTGAGE,3.14,major_purchase,36,0
11,RENT,25.46,debt_consolidation,36,0
6,RENT,3.93,credit_card,36,1
11,RENT,34.24,credit_card,36,0
5,MORTGAGE,6.85,debt_consolidation,36,0
8,RENT,20.79,debt_consolidation,36,0
8,RENT,10.86,credit_card,36,0
3,RENT,9.9,debt_consolidation,36,0
6,MORTGAGE,21.72,debt_consolidation,60,1
3,RENT,25.04,debt_consolidation,60,0
4,RENT,20.65,debt_consolidation,36,0
9,MORTGAGE,12.78,debt_consolidation,60,1
7,MORTGAGE,1.03,other,36,1
8,MORTGAGE,2.55,credit_card,36,0
1,RENT,8.08,debt_consolidation,36,0
11,MORTGAGE,10.86,debt_consolidation,36,0
3,MORTGAGE,23.66,debt_consolidation,60,0
10,RENT,19.49,medical,36,0
1,RENT,0.89,other,36,0
5,MORTGAGE,9.77,debt_consolidation,36,0
11,MORTGAGE,18.8,credit_card,60,0
1,RENT,32.35,debt_consolidation,36,0
3,MORTGAGE,16.57,debt_consolidation,36,0
4,MORTGAGE,14.36,debt_consolidation,36,0
9,MORTGAGE,27.43,debt_consolidation,36,0
1,OWN,4.29,vacation,36,0
11,MORTGAGE,4.6,other,36,0
11,MORTGAGE,7.17,credit_card,36,0
7,RENT,16.68,debt_consolidation,60,0
11,MORTGAGE,12.64,debt_consolidation,36,0
10,MORTGAGE,17.61,car,36,0
11,RENT,1.62,other,36,0
11,RENT,21.88,debt_consolidation,60,0
11,RENT,27.41,debt_consolidation,36,0
6,RENT,13.24,debt_consolidation,36,1
11,MORTGAGE,18.51,credit_card,60,0
4,MORTGAGE,6.23,debt_consolidation,36,0
4,RENT,20.78,debt_consolidation,36,0
5,MORTGAGE,5.92,home_improvement,36,0
3,RENT,13.71,medical,36,0
1,RENT,9.42,debt_consolidation,36,0
11,RENT,7.08,debt_consolidation,60,0
11,MORTGAGE,13.74,car,36,1
5,RENT,24.96,debt_consolidation,36,0
6,OWN,8.21,debt_consolidation,36,1
3,RENT,9.75,debt_consolidation,36,0
11,RENT,10.98,home_improvement,36,0
7,MORTGAGE,2.07,home_improvement,36,0
11,RENT,10.05,debt_consolidation,60,0
11,RENT,20.2,debt_consolidation,60,1
6,RENT,15.2,debt_consolidation,60,1
6,RENT,15.06,house,36,0
11,OWN,30.56,car,36,1
9,RENT,13.38,moving,36,1
9,RENT,12.5,debt_consolidation,60,0
11,MORTGAGE,4.96,debt_consolidation,36,0
11,MORTGAGE,24.73,debt_consolidation,60,0
11,RENT,4.21,credit_card,36,0
11,MORTGAGE,23.95,debt_consolidation,36,1
11,MORTGAGE,13.67,debt_consolidation,36,0
11,MORTGAGE,8.24,credit_card,60,0
5,RENT,6.97,vacation,36,0
11,MORTGAGE,10.61,home_improvement,36,0
2,RENT,26.43,debt_consolidation,36,1
8,RENT,21.28,debt_consolidation,36,0
3,MORTGAGE,33.54,debt_consolidation,36,0
0,OWN,3.04,car,36,0
9,MORTGAGE,15.38,small_business,36,0
11,RENT,21.96,debt_consolidation,36,0
5,RENT,5.19,credit_card,36,0
7,MORTGAGE,25.24,debt_consolidation,60,1
9,MORTGAGE,20.04,debt_consolidation,60,0
4,RENT,8.49,wedding,36,0
3,MORTGAGE,17.61,debt_consolidation,36,0
1,RENT,8.02,debt_consolidation,36,0
9,MORTGAGE,11.95,home_improvement,60,0
11,MORTGAGE,20.59,credit_card,36,0
7,MORTGAGE,22.95,other,36,0
9,OWN,18.41,credit_card,36,1
4,RENT,0.75,small_business,60,1
7,MORTGAGE,13.74,debt_consolidation,36,0
11,RENT,34.3,debt_consolidation,60,0
11,MORTGAGE,20.9,debt_consolidation,36,0
4,RENT,4.39,debt_consolidation,36,0
3,MORTGAGE,22.86,debt_consolidation,60,1
11,RENT,12.54,debt_consolidation,36,0
11,RENT,7.56,debt_consolidation,36,1
2,RENT,28.5,debt_consolidation,36,0
7,OWN,24.85,credit_card,60,0
11,MORTGAGE,23.97,debt_consolidation,36,0
1,RENT,16.97,credit_card,36,0
11,RENT,20.95,medical,60,0
11,MORTGAGE,8.5,home_improvement,60,0
11,MORTGAGE,18.69,debt_consolidation,36,0
5,RENT,16.42,debt_consolidation,36,0
3,RENT,28.97,debt_consolidation,36,0
1,MORTGAGE,17.46,debt_consolidation,36,0
11,RENT,19.97,debt_consolidation,36,0
1,MORTGAGE,8.83,credit_card,60,1
7,RENT,18.96,debt_consolidation,36,0
11,RENT,15.74,debt_consolidation,36,1
8,RENT,7.3,credit_card,36,0
5,MORTGAGE,0.84,other,36,0
5,MORTGAGE,13.27,debt_consolidation,36,0
11,OWN,24.31,debt_consolidation,36,0
5,RENT,11.5,moving,36,0
1,RENT,16.15,credit_card,36,0
4,MORTGAGE,12.58,debt_consolidation,60,0
8,MORTGAGE,27.85,debt_consolidation,60,0
9,MORTGAGE,8.26,home_improvement,36,0
1,OWN,28,debt_consolidation,60,0
2,RENT,8.38,small_business,36,1
3,RENT,16.48,medical,36,0
11,MORTGAGE,20.13,home_improvement,36,1
11,MORTGAGE,20.66,debt_consolidation,60,0
11,MORTGAGE,17.84,debt_consolidation,60,0
5,RENT,20.48,debt_consolidation,36,0
11,MORTGAGE,14.69,debt_consolidation,36,0
11,MORTGAGE,13.77,home_improvement,36,0
11,MORTGAGE,18.75,credit_card,36,0
11,MORTGAGE,2.18,debt_consolidation,36,0
2,RENT,19.63,debt_consolidation,36,0
8,MORTGAGE,10.46,car,36,0
6,MORTGAGE,18.35,debt_consolidation,60,0
4,RENT,6.82,credit_card,36,0
6,MORTGAGE,23.48,credit_card,36,0
4,OWN,12.67,credit_card,36,0
2,MORTGAGE,25.33,credit_card,60,0
4,RENT,0.48,house,36,0
11,RENT,11.62,other,36,0
7,OWN,14.66,debt_consolidation,36,0
2,MORTGAGE,31.8,debt_consolidation,36,1
11,MORTGAGE,16.53,credit_card,36,1
1,MORTGAGE,21.9,debt_consolidation,60,0
6,RENT,22.64,moving,36,0
1,MORTGAGE,13.97,credit_card,60,1
6,RENT,19.26,other,36,0
11,OWN,8.05,other,36,0
11,RENT,9.24,debt_consolidation,36,1
2,RENT,12.37,debt_consolidation,36,0
8,RENT,17.28,debt_consolidation,36,0
2,RENT,15.86,debt_consolidation,60,0
11,MORTGAGE,22.09,credit_card,36,0
1,MORTGAGE,22.82,debt_consolidation,60,0
7,RENT,23.92,debt_consolidation,36,0
3,RENT,15.57,debt_consolidation,36,0
2,OWN,11.3,credit_card,36,0
7,RENT,7.79,debt_consolidation,60,0
8,MORTGAGE,16.81,moving,36,0
4,MORTGAGE,16.77,debt_consolidation,36,0
10,MORTGAGE,9.57,debt_consolidation,60,0
11,RENT,17.68,debt_consolidation,36,0
3,RENT,7.29,credit_card,60,0
11,MORTGAGE,9.76,debt_consolidation,36,0
1,RENT,0,other,36,1
1,RENT,10,other,36,0
3,MORTGAGE,6.37,debt_consolidation,60,0
1,MORTGAGE,24.04,debt_consolidation,60,0
11,MORTGAGE,12.37,other,36,0
1,RENT,30.44,debt_consolidation,60,0
2,MORTGAGE,13.35,small_business,36,1
2,MORTGAGE,14.55,debt_consolidation,36,0
3,RENT,12.39,credit_card,36,0
11,MORTGAGE,5.83,small_business,36,1
11,MORTGAGE,32.86,credit_card,36,0
6,OWN,6.43,debt_consolidation,36,1
11,RENT,29.57,debt_consolidation,60,0
11,MORTGAGE,19.77,debt_consolidation,36,0
3,MORTGAGE,28.37,debt_consolidation,60,0
5,MORTGAGE,21.08,debt_consolidation,60,0
8,RENT,12.88,debt_consolidation,36,0
0,RENT,34.05,credit_card,36,0
5,RENT,28.34,debt_consolidation,36,0
0,MORTGAGE,7.18,vacation,36,1
6,MORTGAGE,10.44,credit_card,36,0
4,RENT,21.04,debt_consolidation,36,0
9,MORTGAGE,16.59,credit_card,36,0
3,MORTGAGE,6.95,small_business,36,0
11,RENT,5.83,other,36,1
1,RENT,17.26,credit_card,36,1
11,MORTGAGE,6.35,credit_card,36,0
8,RENT,18.33,wedding,36,0
11,OWN,30.85,credit_card,36,0
9,RENT,26.43,debt_consolidation,36,0
1,MORTGAGE,34.13,debt_consolidation,36,0
1,RENT,13.86,credit_card,60,0
6,MORTGAGE,14.02,debt_consolidation,36,1
0,RENT,11.44,major_purchase,36,0
7,MORTGAGE,8.17,major_purchase,36,0
8,OWN,22.3,debt_consolidation,36,0
5,OWN,14.78,credit_card,36,0
11,OWN,0.92,house,36,0
11,MORTGAGE,12.07,debt_consolidation,36,0
10,MORTGAGE,11.74,credit_card,36,0
9,MORTGAGE,3.59,home_improvement,60,1
11,MORTGAGE,15.45,credit_card,36,0
10,MORTGAGE,11.74,debt_consolidation,36,0
11,MORTGAGE,20.48,debt_consolidation,60,0
11,MORTGAGE,14.4,debt_consolidation,36,0
11,MORTGAGE,18.41,credit_card,36,0
2,RENT,11.91,credit_card,36,0
1,RENT,17.55,debt_consolidation,60,0
1,MORTGAGE,10.98,credit_card,36,1
5,RENT,12.54,other,36,0
4,MORTGAGE,16.9,debt_consolidation,36,0
6,RENT,16.97,credit_card,36,0
8,RENT,18.55,car,36,0
5,RENT,13.74,debt_consolidation,36,0
5,OWN,1.53,debt_consolidation,36,0
11,MORTGAGE,16.74,other,60,0
4,MORTGAGE,21.36,moving,36,0
6,RENT,10.97,debt_consolidation,36,0
0,OWN,3.5,medical,36,0
3,RENT,13.91,debt_consolidation,36,0
2,RENT,10.89,credit_card,36,0
6,MORTGAGE,10.48,car,36,0
1,MORTGAGE,18.14,debt_consolidation,36,0
6,RENT,24.24,moving,60,1
8,MORTGAGE,14.81,debt_consolidation,36,0
9,RENT,24.44,other,36,1
2,RENT,7.64,major_purchase,36,0
4,MORTGAGE,13.34,major_purchase,36,0
3,RENT,16.17,debt_consolidation,60,1
11,MORTGAGE,20.91,home_improvement,36,0
11,MORTGAGE,17.19,home_improvement,60,1
1,RENT,4.92,debt_consolidation,36,0
3,RENT,12.82,credit_card,36,0
11,MORTGAGE,20.81,credit_card,60,0
1,MORTGAGE,5.81,debt_consolidation,36,0
6,RENT,19.06,small_business,36,0
7,MORTGAGE,13,credit_card,36,0
1,RENT,14.66,other,36,0
9,MORTGAGE,21.66,debt_consolidation,36,0
11,MORTGAGE,11.42,credit_card,36,1
4,RENT,15.52,debt_consolidation,60,1
2,MORTGAGE,14.62,credit_card,36,0
11,MORTGAGE,20.15,debt_consolidation,36,0
6,RENT,15.83,car,60,0
5,MORTGAGE,7.42,debt_consolidation,60,0
6,RENT,22.23,other,60,1
8,MORTGAGE,23.44,debt_consolidation,36,0
9,RENT,19.16,debt_consolidation,36,0
6,RENT,24.89,credit_card,36,0
1,RENT,21.32,wedding,36,0
5,MORTGAGE,11.72,home_improvement,36,0
2,RENT,16.74,debt_consolidation,36,0
8,MORTGAGE,20.88,debt_consolidation,36,0
10,MORTGAGE,2.03,debt_consolidation,36,0
