Carat,Cut,Color,Clarity,Depth_ratio,Table_ratio,Price,x,y,z
0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58,3.32
0.63,Premium,E,VVS2,62.1,57,2789,5.48,5.41,3.38
0.7,Very Good,G,VS1,63,60,2812,5.57,5.64,3.53
0.73,Good,E,SI1,63.6,57,2821,5.72,5.7,3.63
0.7,Ideal,D,VS2,61,57,2859,5.76,5.74,3.51
1.05,Premium,I,SI2,58.3,57,2911,6.72,6.67,3.9
0.24,Ideal,G,VVS1,62,56,559,3.97,4.01,2.47
0.8,Ideal,I,VS1,61.9,54.1,2986,5.92,5.98,3.69
0.9,Good,E,SI2,64.1,57,3084,6.09,6.07,3.9
0.32,Good,E,SI1,,56,561,4.36,4.39,2.76
1.22,Premium,J,SI2,,59,3156,6.79,4.24,3.76
0.9,Very Good,H,SI2,62.8,57,3160,6.15,6.2,3.88
0.84,Fair,F,VS2,65,57.2,3172,5.83,5.87,3.81
1,Very Good,I,VS2,63.2,58,3265,6.43,6.32,4.03
0.71,Ideal,G,VS2,,56,3299,5.68,5.72,3.52
0.7,Ideal,F,VVS1,,55,3348,5.69,5.66,3.53
0.77,Very Good,F,VS1,,58,3350,5.79,5.86,3.66
0.83,Premium,F,VS2,62,59,3393,6,5.96,3.71
0.9,Good,E,SI1,64.3,62,3400,6,6.07,3.88
0.75,Ideal,E,VS1,,55,3402,5.88,5.83,3.66
0.9,Premium,G,SI2,62.4,55,3478,6.17,6.13,3.84
0.31,Very Good,D,SI1,61.7,59,571,4.31,4.35,2.67
0.7,Good,F,VVS1,,61,3536,5.71,5.79,3.52
1.01,Premium,I,SI2,61.7,60,3749,6.34,6.4,3.93
1.18,Very Good,D,I1,61.5,62,3816,6.73,6.88,4.19
0.3,Ideal,G,SI1,,56,574,4.32,4.28,2.7
1.01,Fair,H,SI1,65.3,61,3869,6.23,6.18,4.05
0.9,Very Good,H,VS2,62.8,58,3878,6.13,6.17,3.86
1.05,Good,J,VS1,57.8,64,3881,6.74,6.67,3.88
0.84,Ideal,G,VS2,,55,3936,6.07,6.09,3.77
1.01,Ideal,I,VS1,,57,3991,6.42,6.38,4.02
1.01,Very Good,G,SI1,62.3,59,4064,6.34,6.37,3.96
1.01,Ideal,I,VS1,62.9,56,4118,6.43,6.38,4.03
0.82,Ideal,D,SI1,62.2,55,4135,5.97,5.99,3.72
1,Fair,E,SI1,66.3,62,4140,6.27,6.06,4.09
1.02,Good,H,SI1,57.1,61,4167,6.66,6.57,3.78
1.05,Very Good,G,SI2,61.6,60,4241,6.49,6.56,4.02
1.01,Premium,H,SI2,,59,4242,6.51,6.48,3.89
0.84,Premium,F,VVS2,60.4,62,4243,6.15,6.1,3.7
1.12,Ideal,J,SI2,62.5,57,4325,6.63,6.59,4.13
1.11,Ideal,I,SI2,61.9,57,4377,6.62,6.66,4.11
1.03,Ideal,J,SI1,61.7,56,4395,6.49,6.53,4.02
0.9,Very Good,D,SI1,,57,4419,6.19,6.34,3.73
1,Fair,E,SI2,65.2,59,4516,6.28,6.27,4.09
1,Very Good,D,SI2,63.2,57,4628,6.24,6.32,3.97
1.12,Ideal,G,SI2,,56,4712,6.63,6.67,4.15
1,Fair,F,VS2,64.7,59,4829,6.22,6.15,4
1.02,Ideal,F,SI2,61.3,56,4855,6.5,6.48,3.98
1.16,Premium,I,SI1,62.7,57,4872,6.76,6.67,4.21
1.13,Premium,H,SI2,60.7,54,4873,6.82,6.72,4.11
1.02,Ideal,H,SI2,62.5,53,4918,6.43,6.47,4.03
0.9,Premium,D,VS2,,59,5001,6.14,6.17,3.85
0.34,Ideal,G,VS2,,55,596,4.46,4.48,2.77
1.12,Good,H,SI1,,61,5094,6.72,6.85,4.06
0.9,Very Good,D,SI1,62.3,53,5123,6.2,6.22,3.87
1.09,Premium,D,SI2,61.2,60,5164,6.6,6.64,4.05
1.25,Premium,J,SI1,62,58,5166,6.9,6.88,4.27
1.01,Fair,F,VS2,64.5,58,5226,6.28,6.18,4.02
1.01,Premium,E,SI1,61.8,60,5279,6.36,6.4,3.94
1.09,Very Good,G,SI1,,60,5305,6.66,6.7,4.02
0.7,Ideal,E,VVS1,61.8,55,5338,5.69,5.73,3.53
1,Premium,E,SI1,60.7,59,5445,6.38,6.41,3.88
1.02,Very Good,H,SI1,61,59,5455,6.48,6.53,3.97
0.24,Very Good,E,VS1,,58,419,4.02,4.11,2.43
0.7,Ideal,D,VVS2,,55,5539,5.73,5.75,3.54
0.41,Ideal,F,SI2,62.6,57,603,4.68,4.77,2.96
1.04,Very Good,D,SI1,61.5,58,5605,6.48,6.53,4
1.06,Premium,E,SI1,58.5,60,5642,6.81,6.7,3.95
1.06,Ideal,F,SI1,,57,5655,6.51,6.53,4.05
1.01,Very Good,E,SI1,63.4,58,5684,6.32,6.37,4.02
1.03,Ideal,G,SI1,62.2,59,5684,6.41,6.45,4
